xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.738495,1.3324363
103.7393,1.3324363
103.7393,1.3332474
103.738495,1.3332474
103.738495,1.3324363
103.7393,1.3324363
103.74011,1.3324363
103.74011,1.3332474
103.7393,1.3332474
103.7393,1.3324363
103.738495,1.3332474
103.7393,1.3332474
103.7393,1.3340586
103.738495,1.3340586
103.738495,1.3332474
103.7393,1.3332474
103.74011,1.3332474
103.74011,1.3340586
103.7393,1.3340586
103.7393,1.3332474
103.73722,1.32674
103.73803,1.32674
103.73803,1.3275512
103.73722,1.3275512
103.73722,1.32674
103.73803,1.32674
103.73884,1.32674
103.73884,1.3275512
103.73803,1.3275512
103.73803,1.32674
103.73722,1.3275512
103.73803,1.3275512
103.73803,1.3283623
103.73722,1.3283623
103.73722,1.3275512
103.73803,1.3275512
103.73884,1.3275512
103.73884,1.3283623
103.73803,1.3283623
103.73803,1.3275512
