xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.73995,1.3352845
103.74076,1.3352845
103.74076,1.3360957
103.73995,1.3360957
103.73995,1.3352845
103.74076,1.3352845
103.74157,1.3352845
103.74157,1.3360957
103.74076,1.3360957
103.74076,1.3352845
103.73995,1.3360957
103.74076,1.3360957
103.74076,1.3369069
103.73995,1.3369069
103.73995,1.3360957
103.74076,1.3360957
103.74157,1.3360957
103.74157,1.3369069
103.74076,1.3369069
103.74076,1.3360957
103.7433,1.3285104
103.74411,1.3285104
103.74411,1.3293216
103.7433,1.3293216
103.7433,1.3285104
103.74411,1.3285104
103.74492,1.3285104
103.74492,1.3293216
103.74411,1.3293216
103.74411,1.3285104
103.7433,1.3293216
103.74411,1.3293216
103.74411,1.3301328
103.7433,1.3301328
103.7433,1.3293216
103.74411,1.3293216
103.74492,1.3293216
103.74492,1.3301328
103.74411,1.3301328
103.74411,1.3293216
