xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.73679,1.3377093
103.7376,1.3377093
103.7376,1.3385205
103.73679,1.3385205
103.73679,1.3377093
103.7376,1.3377093
103.73841,1.3377093
103.73841,1.3385205
103.7376,1.3385205
103.7376,1.3377093
103.73679,1.3385205
103.7376,1.3385205
103.7376,1.3393317
103.73679,1.3393317
103.73679,1.3385205
103.7376,1.3385205
103.73841,1.3385205
103.73841,1.3393317
103.7376,1.3393317
103.7376,1.3385205
103.74369,1.3286645
103.7445,1.3286645
103.7445,1.3294756
103.74369,1.3294756
103.74369,1.3286645
103.7445,1.3286645
103.74531,1.3286645
103.74531,1.3294756
103.7445,1.3294756
103.7445,1.3286645
103.74369,1.3294756
103.7445,1.3294756
103.7445,1.3302869
103.74369,1.3302869
103.74369,1.3294756
103.7445,1.3294756
103.74531,1.3294756
103.74531,1.3302869
103.7445,1.3302869
103.7445,1.3294756
103.73921,1.3290108
103.74002,1.3290108
103.74002,1.329822
103.73921,1.329822
103.73921,1.3290108
103.74002,1.3290108
103.74083,1.3290108
103.74083,1.329822
103.74002,1.329822
103.74002,1.3290108
103.73921,1.329822
103.74002,1.329822
103.74002,1.3306332
103.73921,1.3306332
103.73921,1.329822
103.74002,1.329822
103.74083,1.329822
103.74083,1.3306332
103.74002,1.3306332
103.74002,1.329822
103.743805,1.3322823
103.74461,1.3322823
103.74461,1.3330935
103.743805,1.3330935
103.743805,1.3322823
103.74461,1.3322823
103.74542,1.3322823
103.74542,1.3330935
103.74461,1.3330935
103.74461,1.3322823
103.743805,1.3330935
103.74461,1.3330935
103.74461,1.3339047
103.743805,1.3339047
103.743805,1.3330935
103.74461,1.3330935
103.74542,1.3330935
103.74542,1.3339047
103.74461,1.3339047
103.74461,1.3330935
103.73764,1.333899
103.73845,1.333899
103.73845,1.3347101
103.73764,1.3347101
103.73764,1.333899
103.73845,1.333899
103.73926,1.333899
103.73926,1.3347101
103.73845,1.3347101
103.73845,1.333899
103.73764,1.3347101
103.73845,1.3347101
103.73845,1.3355213
103.73764,1.3355213
103.73764,1.3347101
103.73845,1.3347101
103.73926,1.3347101
103.73926,1.3355213
103.73845,1.3355213
103.73845,1.3347101
103.73718,1.3265475
103.73799,1.3265475
103.73799,1.3273587
103.73718,1.3273587
103.73718,1.3265475
103.73799,1.3265475
103.7388,1.3265475
103.7388,1.3273587
103.73799,1.3273587
103.73799,1.3265475
103.73718,1.3273587
103.73799,1.3273587
103.73799,1.32817
103.73718,1.32817
103.73718,1.3273587
103.73799,1.3273587
103.7388,1.3273587
103.7388,1.32817
103.73799,1.32817
103.73799,1.3273587
