xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.742226,1.3347456
103.743034,1.3347456
103.743034,1.3355569
103.742226,1.3355569
103.742226,1.3347456
103.743034,1.3347456
103.74384,1.3347456
103.74384,1.3355569
103.743034,1.3355569
103.743034,1.3347456
103.742226,1.3355569
103.743034,1.3355569
103.743034,1.3363681
103.742226,1.3363681
103.742226,1.3355569
103.743034,1.3355569
103.74384,1.3355569
103.74384,1.3363681
103.743034,1.3363681
103.743034,1.3355569
103.74311,1.3289723
103.74392,1.3289723
103.74392,1.3297836
103.74311,1.3297836
103.74311,1.3289723
103.74392,1.3289723
103.74473,1.3289723
103.74473,1.3297836
103.74392,1.3297836
103.74392,1.3289723
103.74311,1.3297836
103.74392,1.3297836
103.74392,1.3305948
103.74311,1.3305948
103.74311,1.3297836
103.74392,1.3297836
103.74473,1.3297836
103.74473,1.3305948
103.74392,1.3305948
103.74392,1.3297836
103.73568,1.3276638
103.73649,1.3276638
103.73649,1.3284749
103.73568,1.3284749
103.73568,1.3276638
103.73649,1.3276638
103.7373,1.3276638
103.7373,1.3284749
103.73649,1.3284749
103.73649,1.3276638
103.73568,1.3284749
103.73649,1.3284749
103.73649,1.3292861
103.73568,1.3292861
103.73568,1.3284749
103.73649,1.3284749
103.7373,1.3284749
103.7373,1.3292861
103.73649,1.3292861
103.73649,1.3284749
103.74034,1.3346301
103.74115,1.3346301
103.74115,1.3354414
103.74034,1.3354414
103.74034,1.3346301
103.74115,1.3346301
103.74196,1.3346301
103.74196,1.3354414
103.74115,1.3354414
103.74115,1.3346301
103.74034,1.3354414
103.74115,1.3354414
103.74115,1.3362526
103.74034,1.3362526
103.74034,1.3354414
103.74115,1.3354414
103.74196,1.3354414
103.74196,1.3362526
103.74115,1.3362526
103.74115,1.3354414
103.74684,1.3310894
103.74765,1.3310894
103.74765,1.3319006
103.74684,1.3319006
103.74684,1.3310894
103.74765,1.3310894
103.74846,1.3310894
103.74846,1.3319006
103.74765,1.3319006
103.74765,1.3310894
103.74684,1.3319006
103.74765,1.3319006
103.74765,1.3327117
103.74684,1.3327117
103.74684,1.3319006
103.74765,1.3319006
103.74846,1.3319006
103.74846,1.3327117
103.74765,1.3327117
103.74765,1.3319006
103.743805,1.3245461
103.74461,1.3245461
103.74461,1.3253573
103.743805,1.3253573
103.743805,1.3245461
103.74461,1.3245461
103.74542,1.3245461
103.74542,1.3253573
103.74461,1.3253573
103.74461,1.3245461
103.743805,1.3253573
103.74461,1.3253573
103.74461,1.3261685
103.743805,1.3261685
103.743805,1.3253573
103.74461,1.3253573
103.74542,1.3253573
103.74542,1.3261685
103.74461,1.3261685
103.74461,1.3253573
