xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.741264,1.3364776
103.74207,1.3364776
103.74207,1.3372889
103.741264,1.3372889
103.741264,1.3364776
103.74207,1.3364776
103.74288,1.3364776
103.74288,1.3372889
103.74207,1.3372889
103.74207,1.3364776
103.741264,1.3372889
103.74207,1.3372889
103.74207,1.3381
103.741264,1.3381
103.741264,1.3372889
103.74207,1.3372889
103.74288,1.3372889
103.74288,1.3381
103.74207,1.3381
103.74207,1.3372889
