xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.73922,1.3345532
103.74003,1.3345532
103.74003,1.3353645
103.73922,1.3353645
103.73922,1.3345532
103.74003,1.3345532
103.74084,1.3345532
103.74084,1.3353645
103.74003,1.3353645
103.74003,1.3345532
103.73922,1.3353645
103.74003,1.3353645
103.74003,1.3361757
103.73922,1.3361757
103.73922,1.3353645
103.74003,1.3353645
103.74084,1.3353645
103.74084,1.3361757
103.74003,1.3361757
103.74003,1.3353645
103.73503,1.3338219
103.73584,1.3338219
103.73584,1.3346331
103.73503,1.3346331
103.73503,1.3338219
103.73584,1.3338219
103.73665,1.3338219
103.73665,1.3346331
103.73584,1.3346331
103.73584,1.3338219
103.73503,1.3346331
103.73584,1.3346331
103.73584,1.3354443
103.73503,1.3354443
103.73503,1.3346331
103.73584,1.3346331
103.73665,1.3346331
103.73665,1.3354443
103.73584,1.3354443
103.73584,1.3346331
103.74296,1.3311276
103.74377,1.3311276
103.74377,1.3319389
103.74296,1.3319389
103.74296,1.3311276
103.74377,1.3311276
103.744576,1.3311276
103.744576,1.3319389
103.74377,1.3319389
103.74377,1.3311276
103.74296,1.3319389
103.74377,1.3319389
103.74377,1.3327501
103.74296,1.3327501
103.74296,1.3319389
103.74377,1.3319389
103.744576,1.3319389
103.744576,1.3327501
103.74377,1.3327501
103.74377,1.3319389
