xvert,yvert
1.3640231,103.692696
1.3606094,103.692696
1.3606094,103.693504
1.3640231,103.693504
1.3640231,103.692696
1.3606094,103.692696
1.3571957,103.692696
1.3571957,103.693504
1.3606094,103.693504
1.3606094,103.692696
1.3571957,103.692696
1.353782,103.692696
1.353782,103.693504
1.3571957,103.693504
1.3571957,103.692696
1.353782,103.692696
1.3503684,103.692696
1.3503684,103.693504
1.353782,103.693504
1.353782,103.692696
1.3503684,103.692696
1.3469547,103.692696
1.3469547,103.693504
1.3503684,103.693504
1.3503684,103.692696
1.3469547,103.692696
1.343541,103.692696
1.343541,103.693504
1.3469547,103.693504
1.3469547,103.692696
1.343541,103.692696
1.3401273,103.692696
1.3401273,103.693504
1.343541,103.693504
1.343541,103.692696
1.3401273,103.692696
1.3367137,103.692696
1.3367137,103.693504
1.3401273,103.693504
1.3401273,103.692696
1.3367137,103.692696
1.3333,103.692696
1.3333,103.693504
1.3367137,103.693504
1.3367137,103.692696
1.3333,103.692696
1.3298863,103.692696
1.3298863,103.693504
1.3333,103.693504
1.3333,103.692696
1.3298863,103.692696
1.3264726,103.692696
1.3264726,103.693504
1.3298863,103.693504
1.3298863,103.692696
1.3264726,103.692696
1.323059,103.692696
1.323059,103.693504
1.3264726,103.693504
1.3264726,103.692696
1.323059,103.692696
1.3196453,103.692696
1.3196453,103.693504
1.323059,103.693504
1.323059,103.692696
1.3196453,103.692696
1.3162316,103.692696
1.3162316,103.693504
1.3196453,103.693504
1.3196453,103.692696
1.3162316,103.692696
1.3128179,103.692696
1.3128179,103.693504
1.3162316,103.693504
1.3162316,103.692696
1.3128179,103.692696
1.3094044,103.692696
1.3094044,103.693504
1.3128179,103.693504
1.3128179,103.692696
1.3094044,103.692696
1.3059907,103.692696
1.3059907,103.693504
1.3094044,103.693504
1.3094044,103.692696
1.3059907,103.692696
1.302577,103.692696
1.302577,103.693504
1.3059907,103.693504
1.3059907,103.692696
1.3640231,103.693504
1.3606094,103.693504
1.3606094,103.69431
1.3640231,103.69431
1.3640231,103.693504
1.3606094,103.693504
1.3571957,103.693504
1.3571957,103.69431
1.3606094,103.69431
1.3606094,103.693504
1.3571957,103.693504
1.353782,103.693504
1.353782,103.69431
1.3571957,103.69431
1.3571957,103.693504
1.353782,103.693504
1.3503684,103.693504
1.3503684,103.69431
1.353782,103.69431
1.353782,103.693504
1.3503684,103.693504
1.3469547,103.693504
1.3469547,103.69431
1.3503684,103.69431
1.3503684,103.693504
1.3469547,103.693504
1.343541,103.693504
1.343541,103.69431
1.3469547,103.69431
1.3469547,103.693504
1.343541,103.693504
1.3401273,103.693504
1.3401273,103.69431
1.343541,103.69431
1.343541,103.693504
1.3401273,103.693504
1.3367137,103.693504
1.3367137,103.69431
1.3401273,103.69431
1.3401273,103.693504
1.3367137,103.693504
1.3333,103.693504
1.3333,103.69431
1.3367137,103.69431
1.3367137,103.693504
1.3333,103.693504
1.3298863,103.693504
1.3298863,103.69431
1.3333,103.69431
1.3333,103.693504
1.3298863,103.693504
1.3264726,103.693504
1.3264726,103.69431
1.3298863,103.69431
1.3298863,103.693504
1.3264726,103.693504
1.323059,103.693504
1.323059,103.69431
1.3264726,103.69431
1.3264726,103.693504
1.323059,103.693504
1.3196453,103.693504
1.3196453,103.69431
1.323059,103.69431
1.323059,103.693504
1.3196453,103.693504
1.3162316,103.693504
1.3162316,103.69431
1.3196453,103.69431
1.3196453,103.693504
1.3162316,103.693504
1.3128179,103.693504
1.3128179,103.69431
1.3162316,103.69431
1.3162316,103.693504
1.3128179,103.693504
1.3094044,103.693504
1.3094044,103.69431
1.3128179,103.69431
1.3128179,103.693504
1.3094044,103.693504
1.3059907,103.693504
1.3059907,103.69431
1.3094044,103.69431
1.3094044,103.693504
1.3059907,103.693504
1.302577,103.693504
1.302577,103.69431
1.3059907,103.69431
1.3059907,103.693504
1.3640231,103.69431
1.3606094,103.69431
1.3606094,103.69512
1.3640231,103.69512
1.3640231,103.69431
1.3606094,103.69431
1.3571957,103.69431
1.3571957,103.69512
1.3606094,103.69512
1.3606094,103.69431
1.3571957,103.69431
1.353782,103.69431
1.353782,103.69512
1.3571957,103.69512
1.3571957,103.69431
1.353782,103.69431
1.3503684,103.69431
1.3503684,103.69512
1.353782,103.69512
1.353782,103.69431
1.3503684,103.69431
1.3469547,103.69431
1.3469547,103.69512
1.3503684,103.69512
1.3503684,103.69431
1.3469547,103.69431
1.343541,103.69431
1.343541,103.69512
1.3469547,103.69512
1.3469547,103.69431
1.343541,103.69431
1.3401273,103.69431
1.3401273,103.69512
1.343541,103.69512
1.343541,103.69431
1.3401273,103.69431
1.3367137,103.69431
1.3367137,103.69512
1.3401273,103.69512
1.3401273,103.69431
1.3367137,103.69431
1.3333,103.69431
1.3333,103.69512
1.3367137,103.69512
1.3367137,103.69431
1.3333,103.69431
1.3298863,103.69431
1.3298863,103.69512
1.3333,103.69512
1.3333,103.69431
1.3298863,103.69431
1.3264726,103.69431
1.3264726,103.69512
1.3298863,103.69512
1.3298863,103.69431
1.3264726,103.69431
1.323059,103.69431
1.323059,103.69512
1.3264726,103.69512
1.3264726,103.69431
1.323059,103.69431
1.3196453,103.69431
1.3196453,103.69512
1.323059,103.69512
1.323059,103.69431
1.3196453,103.69431
1.3162316,103.69431
1.3162316,103.69512
1.3196453,103.69512
1.3196453,103.69431
1.3162316,103.69431
1.3128179,103.69431
1.3128179,103.69512
1.3162316,103.69512
1.3162316,103.69431
1.3128179,103.69431
1.3094044,103.69431
1.3094044,103.69512
1.3128179,103.69512
1.3128179,103.69431
1.3094044,103.69431
1.3059907,103.69431
1.3059907,103.69512
1.3094044,103.69512
1.3094044,103.69431
1.3059907,103.69431
1.302577,103.69431
1.302577,103.69512
1.3059907,103.69512
1.3059907,103.69431
1.3640231,103.69512
1.3606094,103.69512
1.3606094,103.69594
1.3640231,103.69594
1.3640231,103.69512
1.3606094,103.69512
1.3571957,103.69512
1.3571957,103.69594
1.3606094,103.69594
