xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.74311,1.333668
103.74392,1.333668
103.74392,1.3344792
103.74311,1.3344792
103.74311,1.333668
103.74392,1.333668
103.74473,1.333668
103.74473,1.3344792
103.74392,1.3344792
103.74392,1.333668
103.74311,1.3344792
103.74392,1.3344792
103.74392,1.3352904
103.74311,1.3352904
103.74311,1.3344792
103.74392,1.3344792
103.74473,1.3344792
103.74473,1.3352904
103.74392,1.3352904
103.74392,1.3344792
103.74434,1.3285104
103.74515,1.3285104
103.74515,1.3293216
103.74434,1.3293216
103.74434,1.3285104
103.74515,1.3285104
103.74596,1.3285104
103.74596,1.3293216
103.74515,1.3293216
103.74515,1.3285104
103.74434,1.3293216
103.74515,1.3293216
103.74515,1.3301328
103.74434,1.3301328
103.74434,1.3293216
103.74515,1.3293216
103.74596,1.3293216
103.74596,1.3301328
103.74515,1.3301328
103.74515,1.3293216
