xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.742226,1.3347456
103.743034,1.3347456
103.743034,1.3355569
103.742226,1.3355569
103.742226,1.3347456
103.743034,1.3347456
103.74384,1.3347456
103.74384,1.3355569
103.743034,1.3355569
103.743034,1.3347456
103.742226,1.3355569
103.743034,1.3355569
103.743034,1.3363681
103.742226,1.3363681
103.742226,1.3355569
103.743034,1.3355569
103.74384,1.3355569
103.74384,1.3363681
103.743034,1.3363681
103.743034,1.3355569
103.74311,1.3289723
103.74392,1.3289723
103.74392,1.3297836
103.74311,1.3297836
103.74311,1.3289723
103.74392,1.3289723
103.74473,1.3289723
103.74473,1.3297836
103.74392,1.3297836
103.74392,1.3289723
103.74311,1.3297836
103.74392,1.3297836
103.74392,1.3305948
103.74311,1.3305948
103.74311,1.3297836
103.74392,1.3297836
103.74473,1.3297836
103.74473,1.3305948
103.74392,1.3305948
103.74392,1.3297836
103.73568,1.3276638
103.73649,1.3276638
103.73649,1.3284749
103.73568,1.3284749
103.73568,1.3276638
103.73649,1.3276638
103.7373,1.3276638
103.7373,1.3284749
103.73649,1.3284749
103.73649,1.3276638
103.73568,1.3284749
103.73649,1.3284749
103.73649,1.3292861
103.73568,1.3292861
103.73568,1.3284749
103.73649,1.3284749
103.7373,1.3284749
103.7373,1.3292861
103.73649,1.3292861
103.73649,1.3284749
