xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.73922,1.3345532
103.74003,1.3345532
103.74003,1.3353645
103.73922,1.3353645
103.73922,1.3345532
103.74003,1.3345532
103.74084,1.3345532
103.74084,1.3353645
103.74003,1.3353645
103.74003,1.3345532
103.73922,1.3353645
103.74003,1.3353645
103.74003,1.3361757
103.73922,1.3361757
103.73922,1.3353645
103.74003,1.3353645
103.74084,1.3353645
103.74084,1.3361757
103.74003,1.3361757
103.74003,1.3353645
103.73503,1.3338219
103.73584,1.3338219
103.73584,1.3346331
103.73503,1.3346331
103.73503,1.3338219
103.73584,1.3338219
103.73665,1.3338219
103.73665,1.3346331
103.73584,1.3346331
103.73584,1.3338219
103.73503,1.3346331
103.73584,1.3346331
103.73584,1.3354443
103.73503,1.3354443
103.73503,1.3346331
103.73584,1.3346331
103.73665,1.3346331
103.73665,1.3354443
103.73584,1.3354443
103.73584,1.3346331
103.74296,1.3311276
103.74377,1.3311276
103.74377,1.3319389
103.74296,1.3319389
103.74296,1.3311276
103.74377,1.3311276
103.744576,1.3311276
103.744576,1.3319389
103.74377,1.3319389
103.74377,1.3311276
103.74296,1.3319389
103.74377,1.3319389
103.74377,1.3327501
103.74296,1.3327501
103.74296,1.3319389
103.74377,1.3319389
103.744576,1.3319389
103.744576,1.3327501
103.74377,1.3327501
103.74377,1.3319389
103.73591,1.3298961
103.73672,1.3298961
103.73672,1.3307073
103.73591,1.3307073
103.73591,1.3298961
103.73672,1.3298961
103.737526,1.3298961
103.737526,1.3307073
103.73672,1.3307073
103.73672,1.3298961
103.73591,1.3307073
103.73672,1.3307073
103.73672,1.3315184
103.73591,1.3315184
103.73591,1.3307073
103.73672,1.3307073
103.737526,1.3307073
103.737526,1.3315184
103.73672,1.3315184
103.73672,1.3307073
103.73668,1.3272789
103.73749,1.3272789
103.73749,1.3280901
103.73668,1.3280901
103.73668,1.3272789
103.73749,1.3272789
103.7383,1.3272789
103.7383,1.3280901
103.73749,1.3280901
103.73749,1.3272789
103.73668,1.3280901
103.73749,1.3280901
103.73749,1.3289012
103.73668,1.3289012
103.73668,1.3280901
103.73749,1.3280901
103.7383,1.3280901
103.7383,1.3289012
103.73749,1.3289012
103.73749,1.3280901
103.74273,1.3251619
103.74354,1.3251619
103.74354,1.3259732
103.74273,1.3259732
103.74273,1.3251619
103.74354,1.3251619
103.74435,1.3251619
103.74435,1.3259732
103.74354,1.3259732
103.74354,1.3251619
103.74273,1.3259732
103.74354,1.3259732
103.74354,1.3267844
103.74273,1.3267844
103.74273,1.3259732
103.74354,1.3259732
103.74435,1.3259732
103.74435,1.3267844
103.74354,1.3267844
103.74354,1.3259732
103.74411,1.3347843
103.74492,1.3347843
103.74492,1.3355955
103.74411,1.3355955
103.74411,1.3347843
103.74492,1.3347843
103.74573,1.3347843
103.74573,1.3355955
103.74492,1.3355955
103.74492,1.3347843
103.74411,1.3355955
103.74492,1.3355955
103.74492,1.3364066
103.74411,1.3364066
103.74411,1.3355955
103.74492,1.3355955
103.74573,1.3355955
103.74573,1.3364066
103.74492,1.3364066
103.74492,1.3355955
103.74488,1.3300116
103.74569,1.3300116
103.74569,1.3308227
103.74488,1.3308227
103.74488,1.3300116
103.74569,1.3300116
103.7465,1.3300116
103.7465,1.3308227
103.74569,1.3308227
103.74569,1.3300116
103.74488,1.3308227
103.74569,1.3308227
103.74569,1.3316339
103.74488,1.3316339
103.74488,1.3308227
103.74569,1.3308227
103.7465,1.3308227
103.7465,1.3316339
103.74569,1.3316339
103.74569,1.3308227
103.74288,1.3261627
103.74369,1.3261627
103.74369,1.3269739
103.74288,1.3269739
103.74288,1.3261627
103.74369,1.3261627
103.7445,1.3261627
103.7445,1.3269739
103.74369,1.3269739
103.74369,1.3261627
103.74288,1.3269739
103.74369,1.3269739
103.74369,1.3277851
103.74288,1.3277851
103.74288,1.3269739
103.74369,1.3269739
103.7445,1.3269739
103.7445,1.3277851
103.74369,1.3277851
103.74369,1.3269739
103.73603,1.3265861
103.73684,1.3265861
103.73684,1.3273972
103.73603,1.3273972
103.73603,1.3265861
103.73684,1.3265861
103.73765,1.3265861
103.73765,1.3273972
103.73684,1.3273972
103.73684,1.3265861
103.73603,1.3273972
103.73684,1.3273972
103.73684,1.3282084
103.73603,1.3282084
103.73603,1.3273972
103.73684,1.3273972
103.73765,1.3273972
103.73765,1.3282084
103.73684,1.3282084
103.73684,1.3273972
103.74561,1.3357849
103.74642,1.3357849
103.74642,1.336596
103.74561,1.336596
103.74561,1.3357849
103.74642,1.3357849
103.74723,1.3357849
103.74723,1.336596
103.74642,1.336596
103.74642,1.3357849
103.74561,1.336596
103.74642,1.336596
103.74642,1.3374072
103.74561,1.3374072
103.74561,1.336596
103.74642,1.336596
103.74723,1.336596
103.74723,1.3374072
103.74642,1.3374072
103.74642,1.336596
