xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.74034,1.3336296
103.74115,1.3336296
103.74115,1.3344407
103.74034,1.3344407
103.74034,1.3336296
103.74115,1.3336296
103.74196,1.3336296
103.74196,1.3344407
103.74115,1.3344407
103.74115,1.3336296
103.74034,1.3344407
103.74115,1.3344407
103.74115,1.3352519
103.74034,1.3352519
103.74034,1.3344407
103.74115,1.3344407
103.74196,1.3344407
103.74196,1.3352519
103.74115,1.3352519
103.74115,1.3344407
103.74226,1.328934
103.74307,1.328934
103.74307,1.329745
103.74226,1.329745
103.74226,1.328934
103.74307,1.328934
103.74388,1.328934
103.74388,1.329745
103.74307,1.329745
103.74307,1.328934
103.74226,1.329745
103.74307,1.329745
103.74307,1.3305563
103.74226,1.3305563
103.74226,1.329745
103.74307,1.329745
103.74388,1.329745
103.74388,1.3305563
103.74307,1.3305563
103.74307,1.329745
