xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.75096,1.3317435
103.75177,1.3317435
103.75177,1.3325547
103.75096,1.3325547
103.75096,1.3317435
103.75177,1.3317435
103.75258,1.3317435
103.75258,1.3325547
103.75177,1.3325547
103.75177,1.3317435
103.75096,1.3325547
103.75177,1.3325547
103.75177,1.3333659
103.75096,1.3333659
103.75096,1.3325547
103.75177,1.3325547
103.75258,1.3325547
103.75258,1.3333659
103.75177,1.3333659
103.75177,1.3325547
103.74654,1.333206
103.747345,1.333206
103.747345,1.3340173
103.74654,1.3340173
103.74654,1.333206
103.747345,1.333206
103.74815,1.333206
103.74815,1.3340173
103.747345,1.3340173
103.747345,1.333206
103.74654,1.3340173
103.747345,1.3340173
103.747345,1.3348285
103.74654,1.3348285
103.74654,1.3340173
103.747345,1.3340173
103.74815,1.3340173
103.74815,1.3348285
103.747345,1.3348285
103.747345,1.3340173
103.741684,1.332167
103.74249,1.332167
103.74249,1.3329782
103.741684,1.3329782
103.741684,1.332167
103.74249,1.332167
103.7433,1.332167
103.7433,1.3329782
103.74249,1.3329782
103.74249,1.332167
103.741684,1.3329782
103.74249,1.3329782
103.74249,1.3337893
103.741684,1.3337893
103.741684,1.3329782
103.74249,1.3329782
103.7433,1.3329782
103.7433,1.3337893
103.74249,1.3337893
103.74249,1.3329782
