xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.74353,1.3376709
103.74434,1.3376709
103.74434,1.3384821
103.74353,1.3384821
103.74353,1.3376709
103.74434,1.3376709
103.74515,1.3376709
103.74515,1.3384821
103.74434,1.3384821
103.74434,1.3376709
103.74353,1.3384821
103.74434,1.3384821
103.74434,1.3392932
103.74353,1.3392932
103.74353,1.3384821
103.74434,1.3384821
103.74515,1.3384821
103.74515,1.3392932
103.74434,1.3392932
103.74434,1.3384821
103.73841,1.3367857
103.73922,1.3367857
103.73922,1.3375968
103.73841,1.3375968
103.73841,1.3367857
103.73922,1.3367857
103.74003,1.3367857
103.74003,1.3375968
103.73922,1.3375968
103.73922,1.3367857
103.73841,1.3375968
103.73922,1.3375968
103.73922,1.338408
103.73841,1.338408
103.73841,1.3375968
103.73922,1.3375968
103.74003,1.3375968
103.74003,1.338408
103.73922,1.338408
103.73922,1.3375968
