xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.7408,1.3362082
103.74161,1.3362082
103.74161,1.3370194
103.7408,1.3370194
103.7408,1.3362082
103.74161,1.3362082
103.74242,1.3362082
103.74242,1.3370194
103.74161,1.3370194
103.74161,1.3362082
103.7408,1.3370194
103.74161,1.3370194
103.74161,1.3378305
103.7408,1.3378305
103.7408,1.3370194
103.74161,1.3370194
103.74242,1.3370194
103.74242,1.3378305
103.74161,1.3378305
103.74161,1.3370194
