xvert,yvert
1.3616146,103.69063
1.3583173,103.69084
1.3592008,103.69163
1.3624982,103.691414
1.3616146,103.69063
1.3583173,103.69084
1.3550199,103.69105
1.3559034,103.69183
1.3592008,103.69163
1.3583173,103.69084
1.3550199,103.69105
1.3517226,103.69126
1.352606,103.69205
1.3559034,103.69183
1.3550199,103.69105
1.3517226,103.69126
1.3484251,103.691475
1.3493087,103.69225
1.352606,103.69205
1.3517226,103.69126
1.3484251,103.691475
1.3451278,103.69168
1.3460114,103.69247
1.3493087,103.69225
1.3484251,103.691475
1.3451278,103.69168
1.3418305,103.691895
1.342714,103.69267
1.3460114,103.69247
1.3451278,103.69168
1.3418305,103.691895
1.3385332,103.6921
1.3394166,103.69289
1.342714,103.69267
1.3418305,103.691895
1.3385332,103.6921
1.3352357,103.692314
1.3361193,103.69309
1.3394166,103.69289
1.3385332,103.6921
1.3352357,103.692314
1.3319384,103.69252
1.332822,103.693306
1.3361193,103.69309
1.3352357,103.692314
1.3319384,103.69252
1.328641,103.69273
1.3295245,103.69351
1.332822,103.693306
1.3319384,103.69252
1.328641,103.69273
1.3253437,103.69294
1.3262272,103.693726
1.3295245,103.69351
1.328641,103.69273
1.3253437,103.69294
1.3220463,103.69315
1.3229299,103.69393
1.3262272,103.693726
1.3253437,103.69294
1.3220463,103.69315
1.318749,103.69336
1.3196325,103.694145
1.3229299,103.69393
1.3220463,103.69315
1.318749,103.69336
1.3154516,103.69357
1.3163351,103.69435
1.3196325,103.694145
1.318749,103.69336
1.3154516,103.69357
1.3121543,103.69378
1.3130378,103.694565
1.3163351,103.69435
1.3154516,103.69357
1.3121543,103.69378
1.3088568,103.69399
1.3097404,103.69477
1.3130378,103.694565
1.3121543,103.69378
1.3088568,103.69399
1.3055595,103.6942
1.3064431,103.694984
1.3097404,103.69477
1.3088568,103.69399
1.3055595,103.6942
1.3022622,103.69441
1.3031456,103.69519
1.3064431,103.694984
1.3055595,103.6942
1.3022622,103.69441
1.2989649,103.69462
1.2998483,103.695404
1.3031456,103.69519
1.3022622,103.69441
1.2989649,103.69462
1.2956674,103.69483
1.296551,103.69562
1.2998483,103.695404
1.2989649,103.69462
1.2956674,103.69483
1.2923701,103.69504
