xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.733986,1.3311276
103.734795,1.3311276
103.734795,1.3319389
103.733986,1.3319389
103.733986,1.3311276
103.734795,1.3311276
103.7356,1.3311276
103.7356,1.3319389
103.734795,1.3319389
103.734795,1.3311276
103.733986,1.3319389
103.734795,1.3319389
103.734795,1.3327501
103.733986,1.3327501
103.733986,1.3319389
103.734795,1.3319389
103.7356,1.3319389
103.7356,1.3327501
103.734795,1.3327501
103.734795,1.3319389
103.74234,1.3294342
103.74315,1.3294342
103.74315,1.3302454
103.74234,1.3302454
103.74234,1.3294342
103.74315,1.3294342
103.74396,1.3294342
103.74396,1.3302454
103.74315,1.3302454
103.74315,1.3294342
103.74234,1.3302454
103.74315,1.3302454
103.74315,1.3310565
103.74234,1.3310565
103.74234,1.3302454
103.74315,1.3302454
103.74396,1.3302454
103.74396,1.3310565
103.74315,1.3310565
103.74315,1.3302454
103.74249,1.3332446
103.7433,1.3332446
103.7433,1.3340557
103.74249,1.3340557
103.74249,1.3332446
103.7433,1.3332446
103.74411,1.3332446
103.74411,1.3340557
103.7433,1.3340557
103.7433,1.3332446
103.74249,1.3340557
103.7433,1.3340557
103.7433,1.3348669
103.74249,1.3348669
103.74249,1.3340557
103.7433,1.3340557
103.74411,1.3340557
103.74411,1.3348669
103.7433,1.3348669
103.7433,1.3340557
103.74209,1.3328389
103.7429,1.3328389
103.7429,1.3336501
103.74209,1.3336501
103.74209,1.3328389
103.7429,1.3328389
103.743706,1.3328389
103.743706,1.3336501
103.7429,1.3336501
103.7429,1.3328389
103.743706,1.3328389
103.744514,1.3328389
103.744514,1.3336501
103.743706,1.3336501
103.743706,1.3328389
103.74209,1.3336501
103.7429,1.3336501
103.7429,1.3344613
103.74209,1.3344613
103.74209,1.3336501
103.7429,1.3336501
103.743706,1.3336501
103.743706,1.3344613
103.7429,1.3344613
103.7429,1.3336501
103.743706,1.3336501
103.744514,1.3336501
103.744514,1.3344613
103.743706,1.3344613
103.743706,1.3336501
103.74209,1.3344613
103.7429,1.3344613
103.7429,1.3352726
103.74209,1.3352726
103.74209,1.3344613
103.7429,1.3344613
103.743706,1.3344613
103.743706,1.3352726
103.7429,1.3352726
103.7429,1.3344613
103.743706,1.3344613
103.744514,1.3344613
103.744514,1.3352726
103.743706,1.3352726
103.743706,1.3344613
103.741684,1.3324333
103.74249,1.3324333
103.74249,1.3332446
103.741684,1.3332446
103.741684,1.3324333
103.74249,1.3324333
103.7433,1.3324333
103.7433,1.3332446
103.74249,1.3332446
103.74249,1.3324333
103.7433,1.3324333
103.74411,1.3324333
103.74411,1.3332446
103.7433,1.3332446
103.7433,1.3324333
103.74411,1.3324333
103.74492,1.3324333
103.74492,1.3332446
103.74411,1.3332446
103.74411,1.3324333
103.741684,1.3332446
103.74249,1.3332446
103.74249,1.3340557
103.741684,1.3340557
103.741684,1.3332446
103.74249,1.3332446
103.7433,1.3332446
103.7433,1.3340557
103.74249,1.3340557
103.74249,1.3332446
103.7433,1.3332446
103.74411,1.3332446
103.74411,1.3340557
103.7433,1.3340557
103.7433,1.3332446
103.74411,1.3332446
103.74492,1.3332446
103.74492,1.3340557
103.74411,1.3340557
103.74411,1.3332446
103.741684,1.3340557
103.74249,1.3340557
103.74249,1.3348669
103.741684,1.3348669
103.741684,1.3340557
103.74249,1.3340557
103.7433,1.3340557
103.7433,1.3348669
103.74249,1.3348669
103.74249,1.3340557
103.7433,1.3340557
103.74411,1.3340557
103.74411,1.3348669
103.7433,1.3348669
103.7433,1.3340557
103.74411,1.3340557
103.74492,1.3340557
103.74492,1.3348669
103.74411,1.3348669
103.74411,1.3340557
103.741684,1.3348669
103.74249,1.3348669
103.74249,1.3356781
103.741684,1.3356781
103.741684,1.3348669
103.74249,1.3348669
103.7433,1.3348669
103.7433,1.3356781
103.74249,1.3356781
103.74249,1.3348669
103.7433,1.3348669
103.74411,1.3348669
103.74411,1.3356781
103.7433,1.3356781
103.7433,1.3348669
103.74411,1.3348669
103.74492,1.3348669
103.74492,1.3356781
103.74411,1.3356781
103.74411,1.3348669
103.74128,1.3320277
103.74209,1.3320277
103.74209,1.3328389
103.74128,1.3328389
103.74128,1.3320277
103.74209,1.3320277
103.7429,1.3320277
103.7429,1.3328389
103.74209,1.3328389
103.74209,1.3320277
103.7429,1.3320277
103.743706,1.3320277
103.743706,1.3328389
103.7429,1.3328389
103.7429,1.3320277
103.743706,1.3320277
103.744514,1.3320277
